@relation class_relation
@attribute 'wordCount' real
@attribute 'DensityinHTML' real
@attribute 'LinkCount' real
@attribute 'wordCountinLink' real
@attribute 'meanofWordinLinks' real
@attribute 'meanofWordinLinksAllWords' real
@attribute 'h1_count' real
@attribute 'h2_count' real
@attribute 'h3_count' real
@attribute 'h4_count' real
@attribute 'h5_count' real
@attribute 'h6_count' real
@attribute 'img_count' real
@attribute 'p_count' real
@attribute 'br_count' real
@attribute 'span_count' real
@attribute 'object_count' real
@attribute 'ul_count' real
@attribute 'li_count' real
@attribute 'input_count' real
@attribute 'div_count' real
@attribute 'td_count' real
@attribute 'dot_count' real
@attribute 'wordCount_AE' real
@attribute 'densityinHTML_AE' real
@attribute 'LinkCount_AE' real
@attribute 'wordCountinLink_AE' real
@attribute 'meanofWordinLinks_AE' real
@attribute 'meanofWordinLinksAllWords_AE' real
@attribute 'h1_count_AE' real
@attribute 'h2_count_AE' real
@attribute 'h3_count_AE' real
@attribute 'h4_count_AE' real
@attribute 'h5_count_AE' real
@attribute 'h6_count_AE' real
@attribute 'img_count_AE' real
@attribute 'p_count_AE' real
@attribute 'br_count_AE' real
@attribute 'span_count_AE' real
@attribute 'object_count_AE' real
@attribute 'ul_count_AE' real
@attribute 'li_count_AE' real
@attribute 'input_count_AE' real
@attribute 'div_count_AE' real
@attribute 'td_count_AE' real
@attribute 'dot_count_AE' real
@attribute 'tagName' {DIV, TD, H1, H2, H3, H4, H5, H6, P, SPAN, FONT, UL, DL, LI, FORM, STRONG, OL, B, TABLE}
@attribute 'hastagORID' real
@attribute 'repeat_tag_count' real
@attribute 'class' {main, headline, summary, others, menu, links, empty}
@data
41,0.045353982300885,20,42,2.1,1.02439024390244,0,8,8,0,0,0,0,0,0,0,0,10,20,0,0,0,0,41,0.045353982300885,20,42,2.1,1.02439024390244,0,8,8,0,0,0,0,0,0,0,0,10,20,0,0,0,0,UL,0,6,menu
20,0.0221238938053097,17,21,1.23529411764706,1.05,0,3,3,0,0,0,0,0,0,0,0,10,17,0,0,0,0,20,0.0221238938053097,17,21,1.23529411764706,1.05,0,3,3,0,0,0,0,0,0,0,0,10,17,0,0,0,0,UL,0,6,menu
23,0.0254424778761062,16,24,1.5,1.04347826086957,0,2,2,0,0,0,0,0,0,0,0,15,16,0,0,0,0,23,0.0254424778761062,16,24,1.5,1.04347826086957,0,2,2,0,0,0,0,0,0,0,0,15,16,0,0,0,0,UL,0,6,menu
12,0.0132743362831858,11,13,1.18181818181818,1.08333333333333,0,2,2,0,0,0,0,0,0,0,0,10,11,0,0,0,0,12,0.0132743362831858,11,13,1.18181818181818,1.08333333333333,0,2,2,0,0,0,0,0,0,0,0,10,11,0,0,0,0,UL,0,6,menu
20,0.0221238938053097,14,21,1.5,1.05,0,3,3,0,0,0,0,0,0,0,0,8,14,0,0,0,0,20,0.0221238938053097,14,21,1.5,1.05,0,3,3,0,0,0,0,0,0,0,0,8,14,0,0,0,0,UL,0,6,menu
23,0.0254424778761062,11,24,2.18181818181818,1.04347826086957,0,2,2,0,0,0,0,0,0,0,0,10,11,0,0,0,0,23,0.0254424778761062,11,24,2.18181818181818,1.04347826086957,0,2,2,0,0,0,0,0,0,0,0,10,11,0,0,0,0,UL,0,6,menu
41,0.0259822560202788,20,42,2.1,1.02439024390244,0,8,8,0,0,0,0,0,0,0,0,10,20,0,0,0,0,41,0.0259822560202788,20,42,2.1,1.02439024390244,0,8,8,0,0,0,0,0,0,0,0,10,20,0,0,0,0,UL,0,6,menu
20,0.0126742712294043,17,21,1.23529411764706,1.05,0,3,3,0,0,0,0,0,0,0,0,10,17,0,0,0,0,20,0.0126742712294043,17,21,1.23529411764706,1.05,0,3,3,0,0,0,0,0,0,0,0,10,17,0,0,0,0,UL,0,6,menu
23,0.014575411913815,16,24,1.5,1.04347826086957,0,2,2,0,0,0,0,0,0,0,0,15,16,0,0,0,0,23,0.014575411913815,16,24,1.5,1.04347826086957,0,2,2,0,0,0,0,0,0,0,0,15,16,0,0,0,0,UL,0,6,menu
12,0.00760456273764259,11,13,1.18181818181818,1.08333333333333,0,2,2,0,0,0,0,0,0,0,0,10,11,0,0,0,0,12,0.00760456273764259,11,13,1.18181818181818,1.08333333333333,0,2,2,0,0,0,0,0,0,0,0,10,11,0,0,0,0,UL,0,6,menu
20,0.0126742712294043,14,21,1.5,1.05,0,3,3,0,0,0,0,0,0,0,0,8,14,0,0,0,0,20,0.0126742712294043,14,21,1.5,1.05,0,3,3,0,0,0,0,0,0,0,0,8,14,0,0,0,0,UL,0,6,menu
23,0.014575411913815,11,24,2.18181818181818,1.04347826086957,0,2,2,0,0,0,0,0,0,0,0,10,11,0,0,0,0,23,0.014575411913815,11,24,2.18181818181818,1.04347826086957,0,2,2,0,0,0,0,0,0,0,0,10,11,0,0,0,0,UL,0,6,menu
12,0.0132743362831858,6,8,1.33333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0.0132743362831858,6,8,1.33333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,UL,1,1,menu
12,0.00760456273764259,6,8,1.33333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0.00760456273764259,6,8,1.33333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,UL,1,1,menu
3,0.00331858407079646,2,5,2.5,1.66666666666667,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0.00331858407079646,2,5,2.5,1.66666666666667,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,UL,1,1,menu
3,0.00190114068441065,2,5,2.5,1.66666666666667,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0.00190114068441065,2,5,2.5,1.66666666666667,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,UL,1,1,menu
27,0.0298672566371681,22,29,1.31818181818182,1.07407407407407,0,11,11,0,0,0,1,0,0,11,0,1,22,0,0,0,0,27,0.0298672566371681,22,29,1.31818181818182,1.07407407407407,0,11,11,0,0,0,1,0,0,11,0,1,22,0,0,0,0,UL,1,1,menu
27,0.0171102661596958,22,29,1.31818181818182,1.07407407407407,0,11,11,0,0,0,1,0,0,11,0,1,22,0,0,0,0,27,0.0171102661596958,22,29,1.31818181818182,1.07407407407407,0,11,11,0,0,0,1,0,0,11,0,1,22,0,0,0,0,UL,1,1,menu
23,0.0254424778761062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0.0254424778761062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DIV,1,1,others
23,0.014575411913815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.014575411913815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DIV,1,1,others
6,0.00663716814159292,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0.00663716814159292,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,DIV,1,1,others
